AdminPermissions,AllocatorPermissions,AllowedPathPrefix,AllowedProperties,ApproversOnCreate,ApproversOnDataDelete,ApproversOnDelete,ApproversOnExtend,ApproversOnResize,AreasNum,AreasPrivateSize,AreasSharedSize,AreasSize,AreasSizeGB,AreasSizeTB,AreasUsage,AreasUsageGB,AreasUsageTB,AvailableSize,AvailableSizeGB,AvailableSizePerSharedPool,AvailableSizePerSharedPoolGB,AvailableSizePerSharedPoolTB,AvailableSizeTB,BusinessGroup,CachePermissions,CacheSize,Cell,DefaultGrace,DefaultPathPrefix,DefaultProperties,DiskSelectionStrategy,DiskSelectionStrategyCache,FSGroup,FSPermissions,FileSystemGroup,FileSystemPermissions,GlobalPathPrefix,LocalPathPrefix,MaxActiveAreas,MaxActiveSize,MaxCacheSize,MaxDisabledPeriod,MaxDuration,MaxGrace,MaxSize,MemberResources,MemberResourcesCache,Permissions,Policies,Project,QSlot,ReplicatorPermissions,RequiredProperties,SharedPools,Status,StodFSPermissions,TotalPrivateSize,TotalSharedSize,TotalSize,TotalSizeGB,TotalSizeTB,Type,User,ViewPermissions
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,SCL,strategic_cad_labs,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,SRP,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,SRP,strategic_cad_labs,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,SRP,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,SRP,strategic_cad_labs,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,tms,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,asvs_malaysia,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,structural_test_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,pde_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,cmv_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,diagnosis_and_debug_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,tms,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,asvs_malaysia,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,structural_test_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,pde_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,cmv_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,VTS,diagnosis_and_debug_solutions,,,,Compliant,,3055104,0,3055104,2983.5,2.914,QSlot,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,,,dts,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,User,others,
agorianx,,/nfs/ibw/disks /nfs/ibw/proj,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,/nfs/ibw/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,ath_bt aloss dleahy1,,dts,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,Project,,
ath_bt aloss dleahy1 agorianx,,,,,,,,,4,82070,0,82070,80.146,0.078,42762,41.76,0.041,264490,258.291,0,0.0,0.0,0.252,DTS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,bwnap02a:vol3 bwnap02b:vol4 bwnap01b:vol5 bwnap01a:vol1 bwnap02a:vol1 gksfiler03:vol2 gksfiler04:vol3 irnap03b:vol2 sinap01b.ir.intel.com:vol1 ,,patriot,,,,,,,Compliant,,3055104,0,3055104,2983.5,2.914,Business Group,,
,,,,,,,,,2,819200,0,819200,800.0,0.781,0,0.0,0.0,3389178,3309.744,0,0.0,0.0,3.232,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01a.ir.intel.com:* ,,,,RRC,,,,,Compliant,,26730759,0,26730759,26104.257,25.492,User,others,
cc_admin nhughes,,/nfs/sie/disks /nfs/sie/proj,,,,,,,2,819200,0,819200,800.0,0.781,369680,361.016,0.353,3389178,3309.744,0,0.0,0.0,3.232,ECG,,0,,unlimited,/nfs/sie/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01a.ir.intel.com:* ,,gquinn rrc,,RRC,,,,,Compliant,,26730759,0,26730759,26104.257,25.492,Project,,
,,,,,,,,,5,200704,0,200704,196.0,0.191,0,0.0,0.0,995773,972.435,0,0.0,0.0,0.95,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01a.ir.intel.com:vol1 sinap01a.ir.intel.com:vol2 sinap01a.ir.intel.com:vol10 sinap01b.ir.intel.com:vol2 ,,,,acd,,,,,Compliant,,8990996,0,8990996,8780.27,8.574,User,others,
mjphelps,,,,,,,,,5,200704,0,200704,196.0,0.191,142135,138.804,0.136,995773,972.435,0,0.0,0.0,0.95,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01a.ir.intel.com:vol1 sinap01a.ir.intel.com:vol2 sinap01a.ir.intel.com:vol10 sinap01b.ir.intel.com:vol2 ,,daadm rdoceall,,acd,,,,,Compliant,,8990996,0,8990996,8780.27,8.574,Project,,
,,,,,,,,,4,104448,0,104448,102.0,0.1,0,0.0,0.0,1055487,1030.749,0,0.0,0.0,1.007,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01b.ir.intel.com:vol3 irnap03a:vol2 ,,,,acdc,,,,,Compliant,,3875839,0,3875839,3784.999,3.696,User,others,
acdcadm,,/nfs/sie/disks /nfs/sie/proj /nfs/iir/disks /nfs/iir/proj,,,,,,,4,104448,0,104448,102.0,0.1,22318,21.795,0.021,1055487,1030.749,0,0.0,0.0,1.007,ECG,,0,,unlimited,/nfs/sie/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01b.ir.intel.com:vol3 irnap03a:vol2 ,,,,acdc,,,,,Compliant,,3875839,0,3875839,3784.999,3.696,Project,,
,,,,,,,,,2,10290,0,10290,10.049,0.01,0,0.0,0.0,68475,66.87,0,0.0,0.0,0.065,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01a.ir.intel.com:vol10 ,,,,acecoe,,,,,Compliant,,2575277,0,2575277,2514.919,2.456,User,others,
mjphelps dleahy1,,/nfs/sie/disks /nfs/sie/proj,,,,,,,2,10290,0,10290,10.049,0.01,3535,3.452,0.003,68475,66.87,0,0.0,0.0,0.065,ECG,,0,,unlimited,/nfs/sie/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01a.ir.intel.com:vol10 ,,build_sie oss_xfer cckbeadm pheraty rdoceall cigccusr,,acecoe,,,,,Compliant,,2575277,0,2575277,2514.919,2.456,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,66791,65.226,0,0.0,0.0,0.064,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 ,,,,barnegat,,,,,Compliant,,3247555,0,3247555,3171.44,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,66791,65.226,0,0.0,0.0,0.064,ECG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 ,,pzedlews,,barnegat,,,,,Compliant,,3247555,0,3247555,3171.44,3.097,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,bayhead,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ECG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,rsztejna,,bayhead,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,36,10107904,0,10107904,9871.0,9.64,0,0.0,0.0,2917051,2848.683,0,0.0,0.0,2.782,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01b.ir.intel.com:vol6 sinap01b.ir.intel.com:vol8 sinap01b.ir.intel.com:vol12 sinap01b.ir.intel.com:vol13 sinap01a.ir.intel.com:vol8 sinap01a.ir.intel.com:vol9 sinap01a.ir.intel.com:vol10 sinap01a.ir.intel.com:vol2 sinap01a.ir.intel.com:vol3 sinap01a.ir.intel.com:vol6 sinap01a.ir.intel.com:vol0 ,,,,bel,,,,,Compliant,,27900833,0,27900833,27246.907,26.608,User,others,
acdcadm iszuca jdkarpin enpicket,,/nfs/sie/disks /nfs/sie/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,36,10107904,0,10107904,9871.0,9.64,5243068,5120.184,5.0,2917051,2848.683,0,0.0,0.0,2.782,ECG,,0,,unlimited,/nfs/sie/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01b.ir.intel.com:vol6 sinap01b.ir.intel.com:vol8 sinap01b.ir.intel.com:vol12 sinap01b.ir.intel.com:vol13 sinap01a.ir.intel.com:vol8 sinap01a.ir.intel.com:vol9 sinap01a.ir.intel.com:vol10 sinap01a.ir.intel.com:vol2 sinap01a.ir.intel.com:vol3 sinap01a.ir.intel.com:vol6 sinap01a.ir.intel.com:vol0 ,,,,bel,,,,,Compliant,,27900833,0,27900833,27246.907,26.608,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,binford,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ECG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,apakula,,binford,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,bridgeville,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ECG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,wpiotrew,,bridgeville,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,20,5842962,0,5842962,5706.018,5.572,0,0.0,0.0,3057137,2985.485,0,0.0,0.0,2.916,ECG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01a.ir.intel.com:vol0 sinap01a.ir.intel.com:vol1 sinap01a.ir.intel.com:vol3 sinap01a.ir.intel.com:vol4 sinap01a.ir.intel.com:vol6 sinap01a.ir.intel.com:vol8 sinap01a.ir.intel.com:vol9 sinap01b.ir.intel.com:vol1 sinap01b.ir.intel.com:vol2 siefs01a.ir.intel.com:vol2 ,,,,cavecreek,,,,,Compliant,,23379224,0,23379224,22831.273,22.296,User,others,
mjphelps dleahy1 cckbeaadm cc_admin nhughes,,/nfs/sie/disks /nfs/sie/proj,,,,,,,20,5842962,0,5842962,5706.018,5.572,4150554,4053.275,3.958,3057137,2985.485,0,0.0,0.0,2.916,ECG,,0,,unlimited,/nfs/sie/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01a.ir.intel.com:vol0 sinap01a.ir.intel.com:vol1 sinap01a.ir.intel.com:vol3 sinap01a.ir.intel.com:vol4 sinap01a.ir.intel.com:vol6 sinap01a.ir.intel.com:vol8 sinap01a.ir.intel.com:vol9 sinap01b.ir.intel.com:vol1 sinap01b.ir.intel.com:vol2 siefs01a.ir.intel.com:vol2 ,,cfdumitr blynch bnevis cguerrie rdoceall dbmadiga,,cavecreek,,,,,Compliant,,23379224,0,23379224,22831.273,22.296,Project,,
